experiment,value
exp_adamw_only_clip_lr5e-06_drop0.5_epochs5,0.7836466133594513
exp_adamw_only_clip_lr5e-06_drop0.3_epochs5,0.7835896611213684
exp_adamw_roberta_large_lr5e-06_drop0.3_bigger_mlp_epochs5,0.7835677862167358
exp_adamw_roberta_base_lr1e-05_drop0.5_gelu_epochs5_frozen_clip,0.7832736372947693
exp_adamw_only_clip_lr1e-05_drop0.3_epochs2_frozen,0.7831370234489441
exp_roberta_large_lr5e-06_drop0.3_epochs5,0.7829236686229706
exp_adamw_roberta_large_lr1e-05_drop0.3_bigger_mlp_epochs5_frozen_roberta,0.7827710509300232
exp_roberta_base_lr5e-06_drop0.3_epochs5_frozen_roberta,0.7823425233364105
exp_adamw_roberta_large_lr1e-05_drop0.5_epochs5,0.7821033000946045
exp_roberta_large_lr5e-06_drop0.5_epochs5_frozen_clip,0.7820555567741394
exp_adamw_roberta_base_lr5e-06_drop0.3_epochs5_frozen_roberta,0.7818725109100342
exp_adamw_roberta_base_lr1e-05_drop0.3_epochs5_frozen_clip,0.7817655503749847
exp_adamw_roberta_base_lr5e-06_drop0.5_bigger_mlp_epochs5_frozen_roberta,0.7812846004962921
exp_adamw_roberta_base_lr1e-05_drop0.5_gelu_epochs5_frozen_roberta,0.7810856699943542
exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs5,0.7809081524610519
exp_adamw_only_clip_lr1e-05_drop0.5_epochs2_frozen,0.7809057831764221
exp_adamw_roberta_large_lr5e-06_drop0.3_gelu_epochs5_frozen_clip,0.780737966299057
exp_roberta_base_lr1e-05_drop0.3_epochs5_frozen_clip,0.7806974053382874
exp_only_clip_lr5e-06_drop0.3_epochs2_frozen,0.780451774597168
exp_adamw_roberta_base_lr1e-05_drop0.5_gelu_epochs5,0.7803060412406921
exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs5_frozen_clip,0.7802306413650513
exp_adamw_only_clip_lr1e-05_drop0.5_epochs5,0.7801898121833801
exp_roberta_large_lr1e-05_drop0.5_epochs5,0.780177503824234
exp_adamw_roberta_large_lr1e-05_drop0.3_gelu_epochs5_frozen_clip,0.7798471748828888
exp_only_roberta_large_lr1e-05_drop0.3_epochs5,0.7798382639884949
exp_roberta_large_lr5e-06_drop0.3_epochs5_frozen_clip,0.7797752320766449
exp_only_roberta_base_lr1e-05_drop0.3_epochs5,0.7794005423784256
exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs5_frozen_clip,0.7793310582637787
exp_adamw_roberta_large_lr1e-05_drop0.5_bigger_mlp_epochs5,0.7792378813028336
exp_adamw_roberta_large_lr1e-05_drop0.5_bigger_mlp_epochs5_frozen_clip,0.7790395170450211
exp_adamw_roberta_large_lr1e-05_drop0.5_gelu_epochs5_frozen_clip,0.778846263885498
exp_adamw_roberta_large_lr1e-05_drop0.5_gelu_epochs5,0.778726726770401
exp_only_clip_lr5e-06_drop0.5_epochs2_frozen,0.7784836888313293
exp_adamw_roberta_large_lr5e-06_drop0.3_bigger_mlp_epochs5_frozen_clip,0.7784692049026489
exp_adamw_roberta_base_lr1e-05_drop0.3_bigger_mlp_epochs5_frozen_clip,0.7779591679573059
exp_only_clip_lr1e-05_drop0.3_epochs5,0.7777851223945618
exp_adamw_roberta_large_lr5e-06_drop0.5_bigger_mlp_epochs5,0.7775343656539917
